ISIN,date,face_value,security_group,industry,instrument,market_lot,name_of_company,paid_up_value,security_code,security_id,security_name,series,symbol,nse,bse,trading_location
INE893N07028,0,10000000,F ,Realty,Debentures and Bonds,0,0,0,949395,205ANSAL23,Ansal Phalak Infrastructure Pvt Ltd,0,0,0,1,India
INE019A07266,0,1000000,F ,Iron & Steel/Interm.Products,Debentures and Bonds,0,0,0,949396,1002JSW23,JSW Steel Ltd,0,0,0,1,India
INE217K07216,0,1000000,F ,Housing Finance ,Debentures and Bonds,0,0,0,949402,952RHFL2023,Reliance Home Finance Ltd,0,0,0,1,India
INE721A07GD1,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949425,105STFC23A,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE721A07GC3,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949426,105STFC23B,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE013A07WU4,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949431,RCL21AUG13E,Reliance Capital Ltd,0,0,0,1,India
INE020B07HM5,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949435,801REC2023,REC Ltd,0,0,0,1,India
INE020B07HN3,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949438,846REC2028,REC Ltd,0,0,0,1,India
INE787H07206,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949439,819IIFCL33B,India Infrastructure Finance Company Ltd,0,0,0,1,India
INE187O07049,0,100000,F ,Realty,Debentures and Bonds,0,0,0,949440,15PRLPPL23,Parsvnath Rail Land Project Pvt Ltd,0,0,0,1,India
INE373P08016,0,10000000,F ,Realty,Debentures and Bonds,0,0,0,949444,1BBPL2023,Bright Buildtech Pvt Ltd,0,0,0,1,India
INE787H07230,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949449,801IIFCL23A,India Infrastructure Finance Company Ltd,0,0,0,1,India
INE787H07214,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949450,846IIFCL28B,India Infrastructure Finance Company Ltd,0,0,0,1,India
INE787H07222,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949451,837IIFCL33C,India Infrastructure Finance Company Ltd,0,0,0,1,India
INE721A07GF6,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949461,105STFC2023,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE823G07110,0,800000,F ,Cement & Cement Products,Debentures and Bonds,0,0,0,949462,105JKCL23A,J.K. CEMENT LTD,0,0,0,1,India
INE823G07128,0,800000,F ,Cement & Cement Products,Debentures and Bonds,0,0,0,949463,105JKCL23B,J.K. CEMENT LTD,0,0,0,1,India
INE823G07136,0,800000,F ,Cement & Cement Products,Debentures and Bonds,0,0,0,949464,105JKCL23C,J.K. CEMENT LTD,0,0,0,1,India
INE148I07357,0,1000000,F ,Housing Finance ,Debentures and Bonds,0,0,0,949466,11IHFL2023,INDIABULLS HOUSING FINANCE Ltd,0,0,0,1,India
INE787H07248,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949469,811IIFCL23A,India Infrastructure Finance Company Ltd,0,0,0,1,India
INE787H07255,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949470,848IIFCL28B,India Infrastructure Finance Company Ltd,0,0,0,1,India
INE538F07140,0,1000000,F ,Electric Utilities,Debentures and Bonds,0,0,0,949474,125EPL2024,ESSAR POWER Ltd,0,0,0,1,India
INE572F08055,0,1000000,F ,Electric Utilities,Debentures and Bonds,0,0,0,949475,907RRVPN25,Rajasthan Rajya Vidyut Prasaran Nigam Ltd,0,0,0,1,India
INE823G07144,0,1000000,F ,Cement & Cement Products,Debentures and Bonds,0,0,0,949488,11JKCL2023,J.K. CEMENT LTD,0,0,0,1,India
INE555J07013,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,949491,104PKHIL25A,Patel KNR Heavy Infrastructures Ltd,0,0,0,1,India
INE721A07GH2,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949510,106STFC20A,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE881J08250,0,1000000,F ,Financial Institutions,Debentures and Bonds,0,0,0,949522,11SREI2020,SREI Equipment Finance Ltd,0,0,0,1,India
INE823G07151,0,1000000,F ,Cement & Cement Products,Debentures and Bonds,0,0,0,949532,11JKCL2023A,J.K. CEMENT LTD,0,0,0,1,India
INE949L08129,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949535,1241AUSFB20,AU Small Finance Bank Ltd,0,0,0,1,India
INE511C08886,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949542,109MFL2023A,Magma Fincorp  Ltd,0,0,0,1,India
INE511C08894,0,500000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949543,MFL26SEP13B,Magma Fincorp  Ltd,0,0,0,1,India
INE721A07GN0,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949546,1075STFC23A,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE721A07GO8,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949547,1075STFC23B,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE849D08TK0,0,10000000,F ,Other Financial Services,Debentures and Bonds,0,0,0,949551,975ISEC21E,ICICI Securities Primary Dealership Ltd,0,0,0,1,India
INE849D08TL8,0,1000000,F ,Other Financial Services,Debentures and Bonds,0,0,0,949552,965ISEC22F,ICICI Securities Primary Dealership Ltd,0,0,0,1,India
INE823G07169,0,1000000,F ,Cement & Cement Products,Debentures and Bonds,0,0,0,949553,11JKCL2023B,J.K. CEMENT LTD,0,0,0,1,India
INE823G07177,0,1000000,F ,Cement & Cement Products,Debentures and Bonds,0,0,0,949554,11JKCL2023C,J.K. CEMENT LTD,0,0,0,1,India
INE020B07HV6,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949563,854REC2028,REC Ltd,0,0,0,1,India
INE721A08CQ0,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949566,11STFC2023,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE756I08041,0,1000000,F ,Financial Institutions,Debentures and Bonds,0,0,0,949584,102HDB2023B,HDB FINANCIAL SERVICES Ltd,0,0,0,1,India
INE721A07GQ3,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949586,1075STFC23,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE028A08042,0,1000000,F ,Banks,Debentures and Bonds,0,0,0,949605,980BOB2023,Bank Of Baroda,0,0,0,1,India
INE019C07031,0,1000000,F , ,Debentures and Bonds,0,0,0,949610,125HSCL2020,Himadri Speciality Chemical Ltd,0,0,0,1,India
INE872A07SD7,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949655,111SEFL23,SREI Equipment Finance Ltd,0,0,0,1,India
